tension,resonance,longevity,quality
5.2055,17.93,11/06/2022,6
0.0355,10.07206,14/09/2021,0
1.7355,5.87206,12/10/2020,0
5.2055,2.41206,08/06/2018,6
0.0355,10.09854,14/09/2021,0
2.9355,10.09854,12/10/2020,0
5.2055,2.93854,08/06/2026,6
0.0355,10.05204,16/09/2021,0
0.0355,15.65204,14/09/2021,0
5.2055,2.08204,10/06/2021,6
0.0355,10.16318,30/09/2021,0
0.0355,10.56318,28/09/2021,0
5.2055,2.94318,11/06/2024,6
0.0355,10.16318,14/09/2021,0
0.1,10.16318,12/08/2021,0
5.2055,18.00318,08/06/2020,6
0.0355,10.16318,14/09/2021,0
2.0355,10.16318,12/09/2017,0
5.2055,2.39318,08/06/2022,6
0.0355,10.05982,16/09/2021,0
0.1,10.05982,14/09/2021,0
5.2055,2.96982,10/06/2023,6
0.0355,10.18866,30/09/2021,0
0.0355,10.18866,28/09/2018,0
5.2055,17.76866,11/06/2020,6
0.0355,10.18866,14/09/2021,0
0.1,12.28866,12/08/2024,0
5.2055,2.86866,08/06/2024,6
0.0355,10.05102,14/09/2021,0
0.1,10.05102,12/10/2020,0
5.2055,3.03102,08/06/2017,6
0.0355,10.04671,16/09/2021,0
0.0355,5.54671,14/09/2017,0
5.2055,2.36671,10/06/2022,6
0.0355,10.02095,30/09/2021,0
0.0355,10.02095,28/08/2023,0
5.2055,17.15095,11/06/2022,6
0.0355,10.05195,14/09/2021,0
0.0355,10.35195,12/10/2021,0
5.2055,2.92195,08/06/2021,6
0.0355,10.02985,14/09/2021,0
0.0355,12.82985,12/10/2018,0
5.2055,2.14985,08/06/2026,6
0.0355,10.07688,16/09/2021,0
2.4355,10.07688,14/09/2021,1
5.2055,17.31688,10/06/2022,6
0.0355,10.06156,30/09/2021,0
0.0355,15.36156,28/09/2021,0
5.2055,2.86156,11/06/2019,6
0.0355,10.06209,14/09/2021,0
3.3355,10.06209,12/09/2019,0
5.2055,2.50209,08/06/2018,6
0.0355,10.05734,14/09/2021,0
0.1,10.05734,12/09/2018,1
5.2055,2.31734,08/06/2016,6
0.0355,10.0653,16/09/2021,0
0.1,10.0653,14/09/2020,0
5.2055,17.2553,10/06/2019,6
0.0355,10.06782,30/09/2021,0
0.1,10.06782,28/09/2018,0
5.2055,17.65782,11/06/2024,6
0.0355,10.06782,14/09/2021,0
0.0355,10.06782,12/10/2021,0
5.2055,2.43782,08/06/2019,6
0.0355,10.07484,14/09/2021,0
3.4355,10.07484,12/08/2021,0
5.2055,17.91484,08/06/2018,6
0.0355,10.10313,16/09/2021,0
0.0355,15.70313,14/09/2019,1
5.2055,17.87313,10/06/2024,6
0.0355,10.10313,30/09/2021,0
2.8355,10.10313,28/09/2021,1
5.2055,17.69313,11/06/2021,6
0.035501,10.07206,14/09/2021,0
1.935501,10.07206,12/10/2021,1
5.205501,2.16206,08/06/2019,6
0.035501,10.07404,14/09/2021,0
0.1,6.17404,12/09/2021,0
5.205501,18.02404,08/06/2018,6
0.035502,10.07398,16/09/2021,0
0.335502,10.07398,14/08/2024,0
5.205502,2.35398,10/06/2021,6
0.0356,10.10047,30/09/2021,0
0.1,10.10047,28/08/2021,0
5.2056,17.91047,11/06/2026,6
0.03565,10,14/09/2021,0
0.03565,10,12/09/2023,0
5.20565,2.1,08/06/2025,6
0.03565,10,14/09/2021,0
0.03565,7.5,12/10/2021,1
5.20565,17.08,08/06/2025,6
0.03565,10,16/09/2021,0
0.03565,10,14/09/2021,0
5.20565,17.86,10/06/2025,6
0.03565,10,30/09/2021,0
0.03565,10,28/09/2023,1
5.20565,2.84,11/06/2024,6
0.03565,10,14/09/2021,0
2.73565,10,12/08/2023,0
5.20565,17.57,08/06/2026,6
0.03565,10,14/09/2021,0
0.03565,10,12/09/2018,1
5.20565,2.82,08/06/2023,6
0.03565,10,16/09/2021,0
0.03565,10,14/10/2021,0
5.20565,17.62,10/06/2018,6
0.03565,10,30/09/2021,0
0.1,9.8,28/09/2023,0
5.20565,2.55,11/06/2021,6
0.0357,10.06008,14/09/2021,0
3.0357,10.76008,12/09/2021,0
5.2057,2.31008,08/06/2020,6
0.0357,10.18108,14/09/2021,0
1.7357,10.18108,12/08/2021,0
5.2057,2.93108,08/06/2024,6
0.0357,10.18108,16/09/2021,0
0.1,10.18108,14/09/2020,0
5.2057,2.36108,10/06/2024,6
0.0357,10.09632,30/09/2021,0
0.0357,10.09632,28/10/2021,0
5.2057,3.00632,11/06/2023,6
0.0357,10.04294,14/09/2021,0
0.0357,10.04294,12/10/2019,1
5.2057,17.85294,08/06/2024,6
0.0357,10.0767,14/09/2021,0
0.1,12.2767,12/09/2021,0
5.2057,17.7667,08/06/2022,6
0.035707,10.03013,16/09/2021,0
0.035707,10.03013,14/08/2019,0
5.205707,17.08013,10/06/2018,6
0.0358,10.18713,30/09/2021,0
0.1,10.18713,28/10/2022,0
5.2058,17.88713,11/06/2018,6
0.0358,10.05146,14/09/2021,0
0.0358,14.35146,12/10/2021,0
5.2058,17.39146,08/06/2017,6
0.0358,10.07653,14/09/2021,0
0.1,12.47653,12/09/2021,0
5.2058,17.08653,08/06/2020,6
0.0358,10,16/09/2021,0
0.1,10,14/10/2017,0
5.2058,2.22,10/06/2022,6
0.035801,10.18713,30/09/2021,0
0.1,10.18713,28/09/2018,0
5.205801,18.15713,11/06/2022,6
0.03582,10,14/09/2021,0
0.03582,10,12/08/2021,0
5.20582,2.56,08/06/2020,6
0.03582,10,14/09/2021,0
0.03582,11.7,12/10/2021,0
5.20582,17.43,08/06/2019,6
0.03582,10,16/09/2021,0
0.03582,10,14/10/2021,1
5.20582,17.17,10/06/2019,6
0.03582,10,30/09/2021,0
0.03582,5.4,28/08/2024,1
5.20582,17.73,11/06/2017,6
0.03582,10,14/09/2021,0
0.1,10,12/09/2021,0
5.20582,2.55,08/06/2021,6
0.035994,10.03237,14/09/2021,0
0.1,10.03237,12/10/2021,0
5.205994,17.30237,08/06/2021,6
0.035999,10.06156,16/09/2021,0
0.035999,10.06156,14/09/2020,0
5.205999,17.27156,10/06/2020,6
0.036,10.11072,30/09/2021,0
0.1,10.11072,28/09/2021,0
5.206,2.32072,11/06/2016,6
0.036,10.09869,14/09/2021,0
1.536,8.19869,12/08/2021,0
5.206,2.32869,08/06/2020,6
0.036,10.09845,14/09/2021,0
0.1,15.69845,12/08/2019,1
5.206,17.24845,08/06/2021,6
0.036,10.05172,16/09/2021,0
0.036,9.65172,14/09/2017,0
5.206,2.40172,10/06/2019,6
0.036,10.05172,30/09/2021,0
0.1,10.05172,28/09/2019,0
5.206,17.23172,11/06/2025,6
0.036,10.08527,14/09/2021,0
0.1,14.98527,12/09/2021,1
5.206,2.24527,08/06/2019,6
0.036,10.05172,14/09/2021,0
0.036,5.45172,12/08/2021,0
5.206,17.22172,08/06/2021,6
0.036,10.05172,16/09/2021,0
0.1,10.05172,14/09/2024,0
5.206,2.19172,10/06/2018,6
0.036,10.08527,30/09/2021,0
0.036,13.88527,28/09/2025,0
5.206,17.27527,11/06/2016,6
0.036,10.04749,14/09/2021,0
0.1,10.04749,12/09/2021,0
5.206,2.73749,08/06/2018,6
0.036,10.0569,14/09/2021,0
0.036,9.7569,12/09/2017,1
5.206,2.6469,08/06/2017,6
0.036,10.10883,16/09/2021,0
0.1,8.70883,14/09/2021,0
5.206,18.04883,10/06/2024,6
0.036,10.09692,30/09/2021,0
0.036,10.09692,28/10/2022,0
5.206,18.00692,11/06/2018,6
0.036,10.09692,14/09/2021,0
3.136,10.09692,12/08/2018,0
5.206,17.61692,08/06/2026,6
0.036,10.07878,14/09/2021,0
0.1,10.07878,12/10/2023,0
5.206,3.03878,08/06/2022,6
0.036,10.01617,16/09/2021,0
0.036,12.31617,14/09/2021,1
5.206,2.07617,10/06/2025,6
0.036,10.01617,30/09/2021,0
2.736,10.01617,28/08/2021,0
5.206,2.22617,11/06/2022,6
0.036098,10.05559,14/09/2021,0
0.036098,7.65559,12/08/2022,0
5.206098,17.43559,08/06/2023,6
0.0361,10.09561,14/09/2021,0
0.1,10.09561,12/09/2021,1
5.2061,2.18561,08/06/2018,6
0.0362,10.19051,16/09/2021,0
0.0362,10.19051,14/09/2020,0
5.2062,17.63051,10/06/2024,6
0.036234,10.13122,30/09/2021,0
2.536234,7.13122,28/09/2021,0
5.206234,18.11122,11/06/2020,6
0.036234,10.13122,14/09/2021,0
0.1,10.13122,12/10/2021,0
5.206234,18.05122,08/06/2025,6
0.03625,10,14/09/2021,0
0.03625,10,12/09/2021,0
5.20625,17.13,08/06/2023,6
0.03625,10,16/09/2021,0
0.03625,12.9,14/08/2024,0
5.20625,2.15,10/06/2026,6
0.03625,10,30/09/2021,0
0.03625,10,28/09/2025,0
5.20625,17.29,11/06/2021,6
0.03625,10,14/09/2021,0
0.03625,10,12/09/2018,0
5.20625,17.95,08/06/2024,6
0.03625,10,14/09/2021,0
1.33625,10,12/08/2021,0
5.20625,17,08/06/2017,6
0.03625,10,16/09/2021,0
0.03625,4.7,14/10/2022,0
5.20625,2.82,10/06/2026,6
0.03625,10,30/09/2021,0
0.1,7,28/09/2022,0
5.20625,2.3,11/06/2019,6
0.03625,10,14/09/2021,0
0.03625,10,12/09/2021,0
5.20625,2.58,08/06/2025,6
0.03625,10.07962,14/09/2021,0
0.1,10.07962,12/09/2021,0
5.20625,17.89962,08/06/2016,6
0.0363,10.20898,16/09/2021,0
0.1,4.50898,14/09/2021,0
5.2063,17.30898,10/06/2020,6
0.0363,10.01721,30/09/2021,0
0.1,10.01721,28/09/2021,0
5.2063,2.07721,11/06/2021,6
0.036327,10,14/09/2021,3
3.536327,13.8,12/08/2021,4
5.206327,2.32,08/06/2026,9
0.0364,10.10589,14/09/2021,0
0.0364,10.10589,12/10/2017,0
5.2064,17.32589,08/06/2020,6
0.036401,10.10589,16/09/2021,0
2.536401,10.10589,14/09/2022,0
5.206401,17.77589,10/06/2017,6
0.036497,10.0587,30/09/2021,0
0.036497,6.2587,28/09/2022,0
5.206497,17.5087,11/06/2016,6
0.0365,10.1432641,14/09/2021,0
0.0365,10.1432641,12/08/2021,0
5.2065,17.1632641,08/06/2024,6
0.0365,10.14357,14/09/2021,0
0.1,10.14357,12/09/2021,1
5.2065,2.16357,08/06/2021,6
0.0365,10.17434,16/09/2021,0
3.5365,10.17434,14/10/2022,1
5.2065,17.43434,10/06/2024,6
0.0365,10.17434,30/09/2021,0
2.8365,5.77434,28/09/2021,0
5.2065,2.23434,11/06/2018,6
0.0365,10.17434,14/09/2021,0
0.1,6.87434,12/09/2025,0
5.2065,3.16434,08/06/2023,6
0.0365,10.17434,14/09/2021,0
0.1,10.17434,12/10/2021,0
5.2065,3.06434,08/06/2020,6
0.0365,10.17434,16/09/2021,0
0.0365,10.17434,14/09/2023,0
5.2065,2.68434,10/06/2016,6
0.0365,10.17397,30/09/2021,0
2.9365,5.67397,28/09/2021,0
5.2065,2.78397,11/06/2023,6
0.0365,10.09243,14/09/2021,0
1.0365,12.29243,12/10/2021,0
5.2065,2.26243,08/06/2022,6
0.0365,10.14831,14/09/2021,0
0.0365,4.54831,12/09/2021,0
5.2065,2.80831,08/06/2019,6
0.0365,10.12194,16/09/2021,0
0.0365,6.42194,14/09/2017,0
5.2065,2.23194,10/06/2020,6
0.0365,10.12194,30/09/2021,0
1.8365,5.02194,28/10/2021,0
5.2065,2.37194,11/06/2020,6
0.0365,10.14831,14/09/2021,0
0.0365,10.14831,12/10/2025,0
5.2065,2.51831,08/06/2026,6
0.0365,10.12194,14/09/2021,0
1.8365,10.12194,12/09/2024,0
5.2065,17.64194,08/06/2017,6
0.0365,10.12194,16/09/2021,0
0.0365,11.92194,14/09/2021,1
5.2065,17.12194,10/06/2026,6
0.0365,10.21212,30/09/2021,0
0.0365,8.11212,28/08/2017,1
5.2065,3.13212,11/06/2017,6
0.0365,10.13777,14/09/2021,0
2.7365,9.63777,12/10/2017,0
5.2065,2.65777,08/06/2017,6
0.0365,10.21092,14/09/2021,0
0.2365,13.11092,12/09/2021,0
5.2065,2.92092,08/06/2026,6
0.0365,10.21092,16/09/2021,0
0.1,10.21092,14/09/2018,0
5.2065,17.36092,10/06/2023,6
0.0365,10.12144,30/09/2021,0
0.0365,7.12144,28/09/2018,0
5.2065,2.57144,11/06/2019,6
0.0365,10.07318,14/09/2021,0
0.0365,10.07318,12/10/2024,1
5.2065,17.29318,08/06/2020,6
0.0365,10.13094,14/09/2021,0
0.0365,10.13094,12/09/2025,0
5.2065,2.46094,08/06/2020,6
0.0365,10.13094,16/09/2021,0
0.1,10.13094,14/10/2021,1
5.2065,2.21094,10/06/2017,6
0.0365,10.14236,30/09/2021,0
0.0365,6.14236,28/09/2021,1
5.2065,2.58236,11/06/2025,6
0.0365,10.14236,14/09/2021,0
0.0365,10.14236,12/10/2021,0
5.2065,2.52236,08/06/2025,6
0.0365,10.14236,14/09/2021,0
2.1365,10.14236,12/09/2017,0
5.2065,2.62236,08/06/2026,6
0.0365,10.04965,16/09/2021,0
0.0365,14.94965,14/10/2017,0
5.2065,2.95965,10/06/2018,6
0.0365,10.01557,30/09/2021,0
0.1,9.31557,28/09/2021,1
5.2065,2.97557,11/06/2023,6
0.0365,10.07816,14/09/2021,0
2.2365,10.07816,12/09/2018,1
5.2065,18.03816,08/06/2020,6
0.0365,10.03258,14/09/2021,0
3.2365,8.63258,12/10/2024,0
5.2065,2.80258,08/06/2026,6
0.0365,10.03258,16/09/2021,0
0.0365,11.93258,14/09/2021,1
5.2065,2.28258,10/06/2019,6
0.0365,10.02506,30/09/2021,0
0.0365,10.82506,28/08/2021,0
5.2065,17.78506,11/06/2024,6
0.0365,10.03258,14/09/2021,0
0.0365,6.73258,12/10/2019,1
5.2065,2.72258,08/06/2016,6
0.0365,10.03258,14/09/2021,0
3.5365,10.03258,12/09/2024,0
5.2065,17.28258,08/06/2024,6
0.0365,9.98502,16/09/2021,0
0.0365,9.98502,14/09/2023,1
5.2065,17.63502,10/06/2022,6
0.036509,10.06101,30/09/2021,0
0.036509,10.06101,28/08/2020,0
5.206509,17.94101,11/06/2022,6
0.0366,10.0289,14/09/2021,0
0.0366,10.0289,12/10/2019,0
5.2066,17.2889,08/06/2020,6
0.0366,10.0289,14/09/2021,0
0.0366,5.3289,12/09/2021,0
5.2066,17.7289,08/06/2023,6
0.0366,10,16/09/2021,0
0.3366,10,14/09/2021,1
5.2066,17.98,10/06/2017,6
0.036649,10,30/09/2021,0
0.036649,10,28/08/2025,1
5.206649,17.37,11/06/2026,6
0.036649,10,14/09/2021,0
0.036649,10.3,12/09/2019,0
5.206649,17.24,08/06/2021,6
0.036663,10.03428,14/09/2021,0
2.936663,10.03428,12/08/2022,0
5.206663,2.63428,08/06/2021,6
0.0367,10.17851,16/09/2021,0
0.1,10.17851,14/09/2021,0
5.2067,17.85851,10/06/2018,6
0.0367,10.15291,30/09/2021,0
0.0367,6.25291,28/08/2017,0
5.2067,3.04291,11/06/2021,6
0.0367,10.15291,14/09/2021,0
0.1,5.85291,12/08/2018,0
5.2067,17.61291,08/06/2024,6
0.0367,10.10244,14/09/2021,0
0.0367,10.10244,12/10/2022,0
5.2067,2.46244,08/06/2021,6
0.0367,10.14462,16/09/2021,0
0.1,10.14462,14/10/2024,1
5.2067,2.51462,10/06/2026,6
0.0367,10.15291,30/09/2021,0
0.0367,13.55291,28/08/2019,0
5.2067,2.86291,11/06/2025,6
0.0367,10.15291,14/09/2021,0
0.0367,11.25291,12/09/2020,0
5.2067,17.77291,08/06/2024,6
0.0367,10.10244,14/09/2021,0
0.1,9.00244,12/09/2017,0
5.2067,17.94244,08/06/2023,6
0.0367,10.14462,16/09/2021,0
3.4367,12.14462,14/10/2017,1
5.2067,2.55462,10/06/2016,6
0.0368,10.17867,30/09/2021,0
2.4368,11.07867,28/08/2023,0
5.2068,2.20867,11/06/2024,6
0.0368,10.17867,14/09/2021,0
2.3368,10.17867,12/08/2020,0
5.2068,2.80867,08/06/2017,6
0.0368,10.17867,14/09/2021,0
0.0368,10.17867,12/09/2021,0
5.2068,18.06867,08/06/2025,6
0.0368,10.17867,16/09/2021,0
0.1,10.17867,14/09/2021,0
5.2068,2.55867,10/06/2016,6
0.0368,10.17867,30/09/2021,0
0.0368,10.17867,28/10/2021,0
5.2068,17.71867,11/06/2021,6
0.0368,10.17867,14/09/2021,0
0.0368,10.17867,12/10/2024,0
5.2068,2.70867,08/06/2026,6
0.0368,10.17867,14/09/2021,0
0.0368,14.77867,12/08/2021,0
5.2068,18.13867,08/06/2017,6
0.0368,10.17867,16/09/2021,0
0.0368,11.37867,14/08/2021,1
5.2068,2.65867,10/06/2025,6
0.0368,10.17867,30/09/2021,0
0.0368,10.17867,28/10/2024,0
5.2068,2.32867,11/06/2017,6
0.0368,10.05522,14/09/2021,0
2.8368,10.05522,12/10/2025,0
5.2068,2.41522,08/06/2022,6
0.0368,10.05522,14/09/2021,0
0.1,5.55522,12/09/2019,1
5.2068,2.26522,08/06/2024,6
0.0368,10,16/09/2021,0
0.0368,10,14/09/2021,0
5.2068,2.62,10/06/2019,6
0.0368,10,30/09/2021,0
2.4368,10,28/08/2021,0
5.2068,2.5,11/06/2020,6
0.0368,10,14/09/2021,0
0.3368,10,12/10/2018,0
5.2068,17.35,08/06/2025,6
0.0368,10,14/09/2021,0
2.4368,6.8,12/09/2024,1
5.2068,2.58,08/06/2023,6
0.0368,10,16/09/2021,0
0.0368,10,14/08/2025,0
5.2068,17.72,10/06/2026,6
0.0368,10,30/09/2021,0
0.1,11.7,28/09/2021,1
5.2068,17.17,11/06/2023,6
0.0368,10,14/09/2021,0
0.0368,13.8,12/09/2021,0
5.2068,2.04,08/06/2026,6
0.0368,10,14/09/2021,0
0.0368,13.2,12/10/2018,0
5.2068,2.27,08/06/2020,6
0.03685,10,16/09/2021,0
0.03685,10,14/10/2021,0
5.20685,17.42,10/06/2025,6
0.03685,10,30/09/2021,0
0.03685,10,28/09/2021,0
5.20685,2.41,11/06/2023,6
0.03685,10,14/09/2021,0
0.03685,10,12/10/2021,0
5.20685,2.43,08/06/2021,6
0.03685,10,14/09/2021,0
0.03685,7.4,12/09/2021,1
5.20685,2.35,08/06/2025,6
0.03685,10,16/09/2021,0
0.03685,7.5,14/09/2021,0
5.20685,17.69,10/06/2019,6
0.03685,10,30/09/2021,0
1.63685,4.8,28/09/2021,1
5.20685,2.44,11/06/2016,6
0.03685,10,14/09/2021,0
0.1,10,12/09/2021,0
5.20685,17.49,08/06/2018,6
0.036897,10.08436,14/09/2021,0
2.536897,6.78436,12/08/2023,0
5.206897,17.92436,08/06/2023,6
0.0369,10.14241,16/09/2021,0
3.7369,4.74241,14/09/2019,0
5.2069,17.61241,10/06/2018,6
0.03695,10,30/09/2021,0
0.03695,10,28/09/2023,1
5.20695,17.45,11/06/2022,6
0.03695,10,14/09/2021,0
0.1,10,12/10/2025,0
5.20695,17.06,08/06/2024,6
0.03695,10,14/09/2021,0
0.03695,14.8,12/09/2021,1
5.20695,17.53,08/06/2018,6
0.03695,10,16/09/2021,0
2.93695,10,14/09/2024,0
5.20695,2.95,10/06/2026,6
0.036995,10.0169,30/09/2021,0
0.036995,13.6169,28/08/2021,0
5.206995,2.4969,11/06/2023,6
0.037,10.17808,14/09/2021,0
1.337,7.57808,12/10/2021,0
5.207,17.67808,08/06/2024,6
0.037,10.17808,14/09/2021,0
0.437,4.47808,12/10/2021,1
5.207,2.64808,08/06/2021,6
0.037,10.12635,16/09/2021,0
3.737,9.22635,14/09/2021,1
5.207,3.00635,10/06/2018,6
0.037,10.12635,30/09/2021,0
2.037,10.12635,28/09/2023,0
5.207,2.33635,11/06/2022,6
0.037,10.12635,14/09/2021,0
2.037,10.12635,12/10/2017,0
5.207,2.55635,08/06/2023,6
0.037,10.12635,14/09/2021,0
0.1,7.42635,12/09/2018,1
5.207,17.42635,08/06/2019,6
0.037,10.22726,16/09/2021,0
0.037,10.22726,14/10/2025,0
5.207,17.37726,10/06/2021,6
0.037,10.22726,30/09/2021,0
0.1,9.02726,28/09/2017,0
5.207,17.59726,11/06/2026,6
0.037,10.02056,14/09/2021,0
0.937,10.02056,12/09/2019,0
5.207,2.80056,08/06/2026,6
0.037,10.11886,14/09/2021,0
2.837,11.11886,12/09/2021,1
5.207,2.90886,08/06/2026,6
0.037,10.11886,16/09/2021,0
0.037,10.11886,14/08/2021,0
5.207,2.59886,10/06/2023,6
0.037,10.1228,30/09/2021,0
1.037,11.1228,28/09/2021,0
5.207,18.0228,11/06/2020,6
0.037,10.14816,14/09/2021,0
1.637,10.14816,12/09/2021,0
5.207,17.46816,08/06/2021,6
0.037,10.11348,14/09/2021,0
3.637,11.11348,12/08/2021,0
5.207,17.72348,08/06/2025,6
0.037,10.05846,16/09/2021,0
0.037,13.55846,14/08/2018,0
5.207,2.32846,10/06/2023,6
0.037,10.05846,30/09/2021,0
0.1,6.15846,28/09/2021,0
5.207,17.95846,11/06/2025,6
0.037,10.05846,14/09/2021,0
3.537,10.35846,12/09/2019,0
5.207,2.80846,08/06/2023,6
0.037,10.01832,14/09/2021,0
0.037,9.41832,12/08/2019,1
5.207,17.25832,08/06/2017,6
0.037,10.01916,16/09/2021,0
0.037,8.71916,14/08/2021,0
5.207,2.19916,10/06/2020,6
0.037,10.02,30/09/2021,0
2.037,10.02,28/09/2017,1
5.207,2.17,11/06/2021,6
0.037,10.10686,14/09/2021,0
1.237,10.10686,12/09/2021,0
5.207,2.91686,08/06/2019,6
0.037,10.06789,14/09/2021,0
0.037,10.06789,12/09/2020,0
5.207,17.80789,08/06/2022,6
0.037,10.02129,16/09/2021,0
0.037,12.22129,14/09/2025,0
5.207,2.79129,10/06/2020,6
0.037,10.0169,30/09/2021,0
0.1,10.0169,28/08/2021,0
5.207,2.2769,11/06/2023,6
0.037,10.02775,14/09/2021,0
0.1,10.02775,12/09/2021,1
5.207,2.63775,08/06/2017,6
0.037,10.01533,14/09/2021,0
2.637,10.21533,12/09/2023,0
5.207,2.51533,08/06/2022,6
0.037,10.01533,16/09/2021,0
0.037,10.01533,14/08/2017,0
5.207,17.13533,10/06/2019,6
0.037,10.01533,30/09/2021,0
0.1,10.01533,28/09/2020,1
5.207,2.70533,11/06/2021,6
0.037,10.0169,14/09/2021,0
0.037,14.0169,12/09/2021,0
5.207,17.4969,08/06/2025,6
0.037,10.02775,14/09/2021,0
0.037,14.72775,12/09/2021,1
5.207,17.54775,08/06/2020,6
0.037,10.02129,16/09/2021,0
2.137,6.72129,14/10/2021,0
5.207,17.65129,10/06/2021,6
0.037,10.02129,30/09/2021,0
0.037,10.02129,28/09/2020,1
5.207,17.70129,11/06/2016,6
0.037,10.01753,14/09/2021,0
0.037,10.01753,12/09/2025,0
5.207,2.19753,08/06/2018,6
0.037,10.01989,14/09/2021,0
0.037,10.01989,12/09/2024,0
5.207,2.11989,08/06/2016,6
0.037,10.02983,16/09/2021,0
0.037,10.02983,14/10/2019,1
5.207,2.37983,10/06/2020,6
0.037,10.02387,30/09/2021,0
1.637,6.22387,28/09/2021,0
5.207,2.82387,11/06/2024,6
0.037,10.02387,14/09/2021,0
0.037,10.02387,12/09/2024,0
5.207,17.60387,08/06/2023,6
0.037,10.02475,14/09/2021,0
0.037,10.02475,12/10/2024,0
5.207,17.36475,08/06/2020,6
0.037,10.04134,16/09/2021,0
0.037,15.74134,14/10/2021,0
5.207,17.89134,10/06/2020,6
0.037,10.01878,30/09/2021,0
0.1,10.01878,28/08/2020,0
5.207,2.14878,11/06/2020,6
0.037,10.04985,14/09/2021,0
0.037,10.04985,12/10/2025,0
5.207,17.07985,08/06/2021,6
0.037001,10.1228,14/09/2021,0
0.1,10.7228,12/09/2021,0
5.207001,17.2828,08/06/2020,6
0.037002,10.08804,16/09/2021,0
1.737002,4.78804,14/08/2021,1
5.207002,2.24804,10/06/2021,6
0.037004,10.01518,30/09/2021,0
1.037004,10.01518,28/08/2021,0
5.207004,17.65518,11/06/2022,6
0.037007,10.077,14/09/2021,0
3.437007,10.077,12/08/2024,0
5.207007,2.147,08/06/2024,6
0.037017,10,14/09/2021,0
0.037017,10,12/10/2020,0
5.207017,17.07,08/06/2022,6
0.037017,10,16/09/2021,0
1.837017,10,14/09/2021,0
5.207017,2.53,10/06/2017,6
0.037017,10,30/09/2021,0
0.037017,10,28/09/2017,0
5.207017,17.3,11/06/2018,6
0.037017,10,14/09/2021,0
2.437017,10,12/10/2020,0
5.207017,2.75,08/06/2020,6
0.037017,10,14/09/2021,0
0.037017,15.2,12/10/2025,1
5.207017,17.34,08/06/2026,6
0.037017,10,16/09/2021,0
0.1,7.8,14/09/2025,1
5.207017,2.53,10/06/2020,6
0.037017,10,30/09/2021,0
0.1,15.4,28/08/2017,0
5.207017,17.31,11/06/2016,6
0.037017,10,14/09/2021,0
0.1,8.8,12/08/2021,1
5.207017,2.74,08/06/2016,6
0.037017,10,14/09/2021,0
0.037017,7.4,12/10/2025,1
5.207017,2.85,08/06/2017,6
0.037078,10,16/09/2021,0
0.037078,10,14/09/2018,0
5.207078,2.5,10/06/2022,6
0.037078,10,30/09/2021,0
2.637078,10,28/08/2021,0
5.207078,2.28,11/06/2026,6
0.037078,10,14/09/2021,0
0.1,10,12/10/2021,0
5.207078,17.57,08/06/2020,6
0.037078,10,14/09/2021,0
0.1,10,12/09/2021,1
5.207078,2.02,08/06/2019,6
0.037078,10,16/09/2021,0
2.337078,12.5,14/09/2025,0
5.207078,2.95,10/06/2020,6
0.037078,10,30/09/2021,0
